scenario,scenario_family,scenario_i,magnitude,backend,obefore_order,commit_every,mapsize_mb,repeat_reconcile,slice_begin_ts,slice_end_ts,step_in_slice,n_common_in_slice,n_a_only_in_slice,n_b_only_in_slice,n_common_outside_before,n_common_outside_after,n_a_only_outside_before,n_a_only_outside_after,n_b_only_outside_before,n_b_only_outside_after,fullA,fullB,sliceA,sliceB,expected_have,expected_need,have,need,prep_total_ms,prep_open_ms,prep_populate_ms,prep_commit_ms,prep_seal_ms,prep_expected_ms,prep_serialize_ms,open_ms,build_ms,reconcile_ms,decode_sort_ms,total_bench_ms,msg_count,bytes_a_to_b,bytes_b_to_a,A_apparent_bytes,A_alloc_bytes,A_used_bytes_est,B_apparent_bytes,B_alloc_bytes,B_used_bytes_est,A_depth,A_branch_pages,A_leaf_pages,A_overflow_pages,A_entries,A_last_pgno,A_page_size,B_depth,B_branch_pages,B_leaf_pages,B_overflow_pages,B_entries,B_last_pgno,B_page_size,rss_kb_before,rss_kb_after
baseline_dense_1,baseline_dense,1,8,Vector,desc,0,2048,10,10000,10070,1,64,4,4,500,500,100,100,100,100,1268,1268,68,68,4,4,4,4,1.711,0.109,0.166,0.000,0.050,1.212,0.147,0.177,0.000,0.101,0.000,0.279,1,306,137,50728,53248,50728,50728,53248,50728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5016,7492
baseline_dense_1,baseline_dense,1,8,BTreeLMDB,desc,0,2048,10,10000,10070,1,64,4,4,500,500,100,100,100,100,1268,1268,68,68,4,4,4,4,13.019,6.393,6.616,5.990,0.000,0.000,0.000,0.081,0.014,0.376,0.000,0.470,1,306,137,135168,131072,126976,135168,131072,126976,1,0,1,25,26,30,4096,1,0,1,25,26,30,4096,4996,7848
baseline_dense_1,baseline_dense,1,8,AELMDBSlice,desc,0,2048,10,10000,10070,1,64,4,4,500,500,100,100,100,100,1268,1268,68,68,4,4,4,4,10.876,5.763,5.110,4.198,0.000,0.000,0.000,0.079,0.008,0.151,0.000,0.239,1,306,137,126976,122880,118784,126976,122880,118784,2,1,23,0,1268,28,4096,2,1,23,0,1268,28,4096,4996,7852
baseline_dense_1,baseline_dense,1,8,NoAggWindowSliceAELMDB,desc,0,2048,10,10000,10070,1,64,4,4,500,500,100,100,100,100,1268,1268,68,68,4,4,4,4,10.876,5.763,5.110,4.198,0.000,0.000,0.000,0.061,0.003,0.162,0.000,0.225,1,306,137,126976,122880,118784,126976,122880,118784,2,1,23,0,1268,28,4096,2,1,23,0,1268,28,4096,4888,7764
baseline_sparse_1,baseline_sparse,1,8,Vector,desc,0,2048,10,50000,50408,3,128,6,6,1000,1000,200,200,200,200,2534,2534,134,134,6,6,6,6,0.682,0.037,0.110,0.000,0.076,0.165,0.292,0.405,0.001,0.099,0.000,0.505,1,307,266,101368,102400,101368,101368,102400,101368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4972,7548
baseline_sparse_1,baseline_sparse,1,8,BTreeLMDB,desc,0,2048,10,50000,50408,3,128,6,6,1000,1000,200,200,200,200,2534,2534,134,134,6,6,6,6,9.208,3.505,5.695,4.571,0.000,0.000,0.000,0.068,0.032,0.641,0.000,0.741,1,307,266,229376,225280,221184,229376,225280,221184,1,0,1,48,49,53,4096,1,0,1,48,49,53,4096,5000,8044
baseline_sparse_1,baseline_sparse,1,8,AELMDBSlice,desc,0,2048,10,50000,50408,3,128,6,6,1000,1000,200,200,200,200,2534,2534,134,134,6,6,6,6,9.280,3.446,5.828,4.183,0.000,0.000,0.000,0.070,0.010,0.174,0.000,0.253,1,307,266,233472,229376,225280,233472,229376,225280,3,3,47,0,2534,54,4096,3,3,47,0,2534,54,4096,4980,7796
baseline_sparse_1,baseline_sparse,1,8,NoAggWindowSliceAELMDB,desc,0,2048,10,50000,50408,3,128,6,6,1000,1000,200,200,200,200,2534,2534,134,134,6,6,6,6,9.280,3.446,5.828,4.183,0.000,0.000,0.000,0.070,0.007,0.180,0.000,0.257,1,307,266,233472,229376,225280,233472,229376,225280,3,3,47,0,2534,54,4096,3,3,47,0,2534,54,4096,4992,7796
baseline_dense_2,baseline_dense,2,8,Vector,desc,0,2048,10,10000,10138,1,128,8,8,1000,1000,200,200,200,200,2536,2536,136,136,8,8,8,8,0.610,0.040,0.056,0.000,0.074,0.144,0.294,0.377,0.001,0.103,0.000,0.480,1,306,265,101448,102400,101448,101448,102400,101448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5020,7592
baseline_dense_2,baseline_dense,2,8,BTreeLMDB,desc,0,2048,10,10000,10138,1,128,8,8,1000,1000,200,200,200,200,2536,2536,136,136,8,8,8,8,8.785,3.452,5.326,4.216,0.000,0.000,0.000,0.069,0.032,0.632,0.000,0.732,1,306,265,229376,225280,221184,229376,225280,221184,1,0,1,48,49,53,4096,1,0,1,48,49,53,4096,4976,8040
